iter	Passed	Remaining
657	26561	13805
658	26600	13764
659	26641	13724
660	26678	13682
661	26717	13641
662	26762	13603
663	26802	13562
664	26855	13528
665	26903	13492
666	26956	13457
667	26997	13418
668	27038	13377
669	27083	13339
670	27122	13298
671	27166	13260
672	27219	13225
673	27269	13189
674	27320	13154
675	27362	13114
676	27403	13074
677	27442	13033
678	27483	12992
679	27524	12952
680	27562	12910
681	27602	12870
682	27656	12836
683	27709	12801
684	27759	12765
685	27813	12731
686	27855	12690
687	27895	12650
688	27933	12608
689	27971	12566
690	28009	12525
691	28049	12484
692	28088	12443
693	28126	12401
694	28164	12359
695	28200	12317
696	28240	12276
697	28280	12235
698	28320	12195
699	28363	12155
700	28412	12118
701	28457	12080
702	28503	12042
703	28542	12000
704	28581	11959
705	28619	11918
706	28658	11876
707	28697	11835
708	28747	11799
709	28800	11763
710	28845	11724
711	28889	11685
712	28929	11645
713	28969	11604
714	29008	11562
715	29049	11522
716	29092	11482
717	29137	11443
718	29178	11403
719	29217	11362
720	29254	11320
721	29294	11279
722	29334	11238
723	29373	11197
724	29412	11156
725	29451	11115
726	29495	11075
727	29536	11035
728	29574	10994
729	29612	10952
730	29650	10911
731	29691	10870
732	29734	10830
733	29774	10790
734	29812	10748
735	29850	10707
736	29888	10665
737	29928	10624
738	29965	10583
739	30003	10541
740	30041	10500
741	30079	10458
742	30120	10418
743	30161	10378
744	30209	10340
745	30267	10305
746	30323	10270
747	30368	10231
748	30413	10191
749	30463	10154
750	30515	10117
751	30562	10079
752	30612	10041
753	30662	10003
754	30721	9969
755	30772	9931
756	30828	9895
757	30881	9859
758	30928	9820
759	30979	9782
760	31041	9748
761	31105	9715
762	31157	9677
763	31209	9640
764	31265	9604
765	31325	9569
766	31372	9530
767	31419	9491
768	31458	9449
769	31499	9409
770	31536	9366
771	31574	9325
772	31618	9285
773	31660	9244
774	31699	9203
775	31738	9161
776	31774	9119
777	31812	9077
778	31858	9038
779	31901	8997
780	31948	8958
781	31990	8918
782	32034	8878
783	32079	8838
784	32122	8797
785	32166	8757
786	32204	8716
787	32248	8675
788	32286	8634
789	32332	8594
790	32381	8555
791	32426	8516
792	32472	8476
793	32511	8434
794	32547	8392
795	32583	8350
796	32621	8308
797	32659	8267
798	32700	8226
799	32745	8186
800	32783	8144
801	32827	8104
802	32870	8063
803	32915	8024
804	32958	7983
805	33001	7943
806	33044	7902
807	33085	7862
808	33127	7821
809	33167	7780
810	33206	7738
811	33243	7696
812	33281	7655
813	33320	7613
814	33358	7572
815	33397	7530
816	33436	7489
817	33475	7448
818	33514	7406
819	33556	7366
820	33594	7324
821	33632	7282
822	33673	7242
823	33713	7200
824	33753	7159
825	33793	7118
826	33833	7077
827	33873	7036
828	33911	6995
829	33949	6953
830	33988	6912
831	34027	6871
832	34066	6829
833	34104	6788
834	34143	6746
835	34181	6705
836	34220	6664
837	34257	6622
838	34296	6581
839	34336	6540
840	34375	6499
841	34418	6458
842	34459	6417
843	34497	6376
844	34536	6335
845	34576	6294
846	34619	6253
847	34661	6212
848	34699	6171
849	34739	6130
850	34777	6089
851	34818	6048
852	34858	6007
853	34901	5966
854	34947	5926
855	34996	5887
856	35038	5846
857	35083	5806
858	35124	5765
859	35167	5724
860	35208	5683
861	35249	5643
862	35287	5601
863	35324	5560
864	35363	5519
865	35403	5478
866	35445	5437
867	35487	5396
868	35534	5356
869	35574	5315
870	35618	5275
871	35668	5235
872	35716	5195
873	35769	5156
874	35817	5116
875	35866	5076
876	35916	5037
877	35961	4996
878	36009	4956
879	36053	4916
880	36100	4876
881	36149	4836
882	36207	4797
883	36345	4769
884	36424	4733
885	36488	4694
886	36541	4655
887	36592	4615
888	36642	4575
889	36686	4534
890	36752	4496
891	36797	4455
892	36838	4414
893	36882	4373
894	36924	4331
895	36975	4291
896	37022	4251
897	37073	4211
898	37117	4170
899	37162	4129
900	37207	4088
901	37250	4047
902	37295	4006
903	37341	3965
904	37385	3924
905	37435	3884
906	37490	3844
907	37546	3804
908	37595	3763
909	37643	3722
910	37683	3681
911	37724	3640
912	37766	3598
913	37809	3557
914	37855	3516
915	37892	3474
916	37934	3433
917	37978	3392
918	38020	3351
919	38061	3309
920	38102	3268
921	38145	3227
922	38189	3185
923	38228	3144
924	38271	3103
925	38309	3061
926	38348	3019
927	38393	2978
928	38435	2937
929	38478	2896
930	38519	2854
931	38562	2813
932	38605	2772
933	38660	2731
934	38709	2691
935	38762	2650
936	38813	2609
937	38876	2569
938	38964	2531
939	39028	2491
940	39090	2450
941	39147	2410
942	39200	2369
943	39248	2328
944	39289	2286
945	39331	2245
946	39375	2203
947	39419	2162
948	39469	2121
949	39518	2079
950	39562	2038
951	39608	1997
952	39653	1955
953	39690	1913
954	39730	1872
955	39770	1830
956	39812	1788
957	39856	1747
958	39899	1705
959	39941	1664
960	39987	1622
961	40030	1581
962	40074	1539
963	40114	1498
964	40153	1456
965	40191	1414
966	40235	1373
967	40283	1331
968	40329	1290
969	40384	1249
970	40426	1207
971	40467	1165
972	40513	1124
973	40555	1082
974	40599	1041
975	40647	999
976	40694	958
977	40740	916
978	40784	874
979	40827	833
980	40875	791
981	40913	749
982	40956	708
983	40999	666
984	41045	625
985	41086	583
986	41127	541
987	41170	500
988	41213	458
989	41258	416
990	41302	375
991	41342	333
992	41381	291
993	41422	250
994	41463	208
995	41502	166
996	41543	125
997	41582	83
998	41625	41
999	41660	0
